CHARGE,CHARGE_TYPE_CLASSIFICATION
DRIVING REVOKED FOR DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC ASSAULT,misdemeanor
SEAT BELT VIOLATION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SEAT BELT VIOLATION,misdemeanor
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
IMPROPER INSPECTION,misdemeanor
PUBLIC INTOXICATION,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
"VIOLATIONS OF CHAPTER GENERALLY;PENALTIES.(MOTORBOATING,ENFORCEMENT)",petty_offense
UNDERAGE CONSUMPTION,petty_offense
SEAT BELT VIOLATION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
REGISTRATION VIOLATION,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
"OBSTRUCTING OFFICER, PENALTIES; DEFINITIONS",misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRECRIPTION,misdemeanor
KNOWINGLY OR INTENTIONHALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OBSTRUCTING OFFICER; PENALTIES; DEFINITIONS,misdemeanor
SHOPLIFTING-CONCEALS MERCHANDISE,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP) FALSE INFORMATION,misdemeanor
CONSPIRACY,felony
TRESPASS ON PROPERTY OTHER THAN STRUCTURE OR CONVEYANCE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SHOPLIFTING PENALTIES ( LESS THAN $500),misdemeanor
CONSPIRACY TO COMMIT ROBBERY IN FIRST DEGREE,felony
ROBBERY FIRST DEGREE,felony
ROBBERY 1ST DEGREE,felony
INTOXICATION OR DRINKING IN PUBLIC PLACES,misdemeanor
DISORDERLY CONDUCT; PENALTY,misdemeanor
SHOPLIFTING-CONCEALS MERCHANDISE,misdemeanor
PROHIBITED PERSON IN POSSESSION OF FIREARM,felony
TRESPASS ON PROPERTY OTHER THAN STRUCTURE OR CONVEYANCE,misdemeanor
ASSAULT ON A GOVERNMENT EMPLOYEE AND/OR MEDICAL PERSONNEL,misdemeanor
TRESPASS ON PROPERTY OTHER THAN STRUCTURE OR CONVEYANCE,misdemeanor
OBSTRUCTING OFFICER; PENALTIES; DEFINITIONS,misdemeanor
BATTERY ON GOVERNMENTAL EMPLOYEES AND MEDICAL PERSONNEL,misdemeanor
TRESPASS ON PROPERTY OTHER THAN STRUCTURE OR CONVEYANCE,misdemeanor
ASSAULT ON A LAW ENFORCEMENT OFFICER,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
PUBLIC INTOXICATION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
DRIVING UNDER THE INFLUENCE WITH BODILY INJURY,misdemeanor
PETIT LARCENY,misdemeanor
TAIL LAMPS,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING WHILE LICENSE REVOKED - DRIVING UNDER THE INFLUENCE,misdemeanor
OPERATION WITHOUT CERTIFICATE INSPECTION OR FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
SHOPLIFTING - CONCEALS MERCHANDISE,misdemeanor
DRIVING UNDER THE INFLUENCE WITH BODILY INJURY,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
DUI,misdemeanor
PROHIBITIONS-SOLID WASTE DISPOSAL,misdemeanor
ATTEMPTED POSSESSION WITH INTENT TO DELIVEFR,misdemeanor
PETIT LARCENY,misdemeanor
COMPULSORY EDUCATION OFFENSES; TRUANCY,misdemeanor
COMPULSORY EDUCATION OFFENSES; TRUANCY,misdemeanor
COMPULSORY EDUCATION OFFENSES; TRUANCY,misdemeanor
COMPULSORY EDUCATION OFFENSES; TRUANCY,misdemeanor
EMBEZZLMENT,misdemeanor
GRAND LARCENY,felony
DUI,misdemeanor
EXPIRED MVI,misdemeanor
OPERATION WITHOUT CERTIFICATE INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
CHILD NEGLECT CAUSING SERIOUS RISK OF SERIOUS INJURY OR DEATH,felony
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
CHILD NEGLECT CAUSING SERIOUS RISK OF SERIOUS INJURY OR DEATH,felony
UNLAWFUL RESTRAINT,misdemeanor
DOMESTIC ASSAULT,misdemeanor
WANTON ENDANGERMENT,felony
CHILD NEGLECT CAUSING SERIOUS RISK OF SERIOUS INJURY OR DEATH,felony
BRANDISHING A DEADLY WEAPON,misdemeanor
DOMESTIC ASSAULT,misdemeanor
UNLAWFUL ASSAULT,felony
"UNLAWFUL ACTS OF PERSON, NON-INTOXICATED BEER",misdemeanor
EXPIRED REGISTRATION,misdemeanor
PETIT LARCENY,misdemeanor
BREAKING / ENTERING,felony
BREAKING / ENTERING,felony
ENTERING WITHOUT BREAKING,felony
ENTERING WITHOUT BREAKING,felony
"POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE, COCAINE",felony
KIDNAPPING,felony
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
DUI,misdemeanor
PETIT LARCENY,misdemeanor
CONSPIRACY,felony
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP);FALSE INFORMATION,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING;ENTRY OF RAILROAD, TRACTION, OR MOTORCAR,STEAMBOAT OR VESSEL",felony
NO HELMET,misdemeanor
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
RECKLESS DRIVING,misdemeanor
GRAND LARCENY,felony
ENTERING WITHOUT BREAKING,felony
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
GRAND LARCENY,felony
BREAKING AND ENTERING,felony
BURGLARY,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
SECOND DEGREE ROBBERY,felony
GRAND LARCENY,felony
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
KIDNAPPING,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
CONSPIRACY,felony
FORGERY,felony
FIRST DEGREE ROBBERY,felony
SECOND DEGREE ROBBERY,felony
BURGLARY,felony
PETIT LARCENY,misdemeanor
FORGERY,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FIRST DEGREE ROBBERY,felony
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
DOMESTIC BATTERY,misdemeanor
PROHIBITED ACTS B; PENALTIES (<15GRAMS MARIJUANA),misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
PROVIDING FALSE INFORMATION TO A LAW ENFORCEMENT OFFICER,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
FUGITIVES FROM ANOTHER STATE,petty_offense
UNLAWFUL USE OF WIRELESS COMMUNICATION DEVICE WHILE OPERATING A MOTOR VEHICLE WITHOUT HANDS FREE DEVICE,misdemeanor
DOMESTIC BATTERY,misdemeanor
BRANDISHING DEADLY WEAPON,misdemeanor
BRANDISHING DEADLY WEAPON,misdemeanor
FUGITIVE FROM JUSTICE,felony
DOMESTIC ASSAULT,misdemeanor
PUBLIC INTOXICATION,misdemeanor
DOMESTIC ASSAULT,misdemeanor
BRANDISHING DEADLY WEAPON,misdemeanor
INTIMIDATION OF AND RETALIATION AGAINST A PUBLIC OFFICIAL OR EMPLOYEE,felony
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
BRANDISHING DEADLY WEAPON,misdemeanor
DOMESTIC ASSAULT,misdemeanor
FUGITIVE FROM JUSTICE,felony
DOMESTIC BATTERY - UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
UNLAWFUL METHOD OF HUNTING-VEHICLE HUNTING,misdemeanor
NO HUNTER EDUCATION CARD,misdemeanor
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES;PENALTIES(THEFT OF SERVICES)",felony
DUI-3RD,felony
SHOPLIFTING LESS THAN $500,misdemeanor
2ND OFFENSE DRIVING SUSPENDED/REVOKED FOR DUI,misdemeanor
FRAUDULENT SCHEMES,felony
DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES;PENALTIES(THEFT OF SERVICES)",felony
