NOTES,SENTENCE
"ORIGINAL OFFENSE: SC9, FAILURE TO STOP AT A STOPLIGHT (STATUTE: 47 O.S. 11-201)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DR3, POSSESSION OF PARAPHERNALIA (STATUTE: 63 O.S. 2-405)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SB3, SEAT BELT VIOLATIONS (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: LA3U, UNAUTHORIZED USE OF VEHICLE (STATUTE: 47 O.S. 4-102)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: FORG, FORGERY II (STATUTE: 21 O.S. 1561-1628)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: LA3U, UNAUTHORIZED USE OF VEHICLE (STATUTE: 47 O.S. 4-102)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: FORG, FORGERY II (STATUTE: 21 O.S. 1561-1628)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: RCSP, RECEIVING/CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: RCSP, RECEIVING/CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA",
,other: COUNTS TO RUN C/C AND C/C WITH CF-11-46-LINCOLN CO CASE
"ORIGINAL OFFENSE: RCSP, RECEIVING/CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA",
,
,
Fine amount: '281.50',"$281.50 fines/fees
"
Fine amount: '516.25',$516.25 fines/fees
,
,
"ORIGINAL OFFENSE: LMFR, LARCENY OF MERCHANDISE FROM A RETAILER (STATUTE: 21 O.S. 1701-1708,1731)
ORIGINAL PLEA: GUILTY PLEA",
,other: 3 YEARS DEFERRED;
"ORIGINAL OFFENSE: OBTCDF, ATTEMPTING TO OBTAIN A CDS BY FRAUD (LORTAB) AFCF (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
,
,
"ORIGINAL OFFENSE: SB3, SEAT BELT VIOLATIONS (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: GUILTY PLEA",
,
,$5.00 FINE; FEES AMOUNT UNSPECIFIED; COSTS AMOUNT UNSPECIFIED;
,
,
"ORIGINAL OFFENSE: BC, BOGUS CHECK (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OWN, FALSE DECLARATION OF OWNERSHIP (STATUTE: 59 O.S. 1512)
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: IN1, INATTENTIVE DRIVING RESULTING IN A COLLISION (STATUTE: 47 O.S. 11-901B)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
,
,
"ORIGINAL OFFENSE: FR5, DRIVING W/O OWNERS SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-606(A))
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: ES6, ELUDING A POLICE OFFICER (STATUTE: 21 O.S. 540A)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DI8, DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL (STATUTE: 47 O.S. 11-902)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DL5, OPERATING WITHOUT BEING LICENSED (EXPIRED) (STATUTE: 47 O.S. 6-101)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: PA2, PASSING ON THE WRONG SIDE (STATUTE: 47 O.S. 11-304)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH REQUIRED COMP LIAB INS LAW (STATUTE: 47 O.S. 7-606)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: SB4, SEAT BELT VIOLATIONS PICKUP/VAN (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: DI1, DUI ALCOHOL (STATUTE: 47 O.S. 11-902(A))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: VI1, OPERATING WITHOUT CURRENT INSPECTION STICKER (STATUTE: 47 O.S. 851)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: LP1, OPERATING A M.V. W/O CURRENT LICENSE PLATE (STATUTE: 47 O.S. 0-1151)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
,
,
,
,
,
"ORIGINAL OFFENSE: BC, BOGUS CHECK (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OWPN, FELONIOUSLY POINTING FIREARM (STATUTE: 21 O.S. 1289.16)
ORIGINAL PLEA: GUILTY PLEA",
,
,
"ORIGINAL OFFENSE: CT 2 CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: CT 3 MAKING A FALSE DECLARATION OF OWNERSHIP (STATUTE: O.S. 59 1512(C)(2))
ORIGINAL PLEA: GUILTY PLEA",
"2020-02-25: BENCH WARRANT ISSUED FAILED TO APPEAR AND PAY
2020-05-20: WARRANT RETURNED 5/20/2020, WARRANT ISSUED ON 2/25/2020

2018-06-19: 1 YEAR D/S; FINE 100; VCA 100 (SS)

2018-06-19: COURT COSTS ON MISDEMEANOR: $ 83.00

2018-06-19: FINES PAYABLE TO COUNTY: $ 100.00 CHARGE TYPE: UNAVAILABLE;; Statute: 21 O.S. 652,1272, 1273,1279, 1287,1283,1289.7.8.9,13,16.17A, 18,21,26, 1364,1550, 1290.1","2017-12-10: PROFESSIONAL BOND FOR NEAL, DEZMINE TIONTRAY POSTED BY FLOYD, RODNEY GUY (PROFESSIONAL:FLOYD, RODNEY GUY) (POWER NUMBER:3111 ), COUNT NUMBER 2, IN THE AMOUNT OF $5,000.00, POSTED 12/11/2017
2017-12-15: DEFENDANT DEZMINE TIONTRAY NEAL WAS CHARGED WITH COUNT #2, TRANSPORTING LOADED FIREARM IN MV IN VIOLATION OF 21 O.S. 652,1272, 1273,1279, 1287,1283,1289.7.8.9,13,16.17A, 18,21,26, 1364,1550, 1290.1
2018-06-19: DA COUNCIL PROSECUTION ASSESSMENT FOR MISDEMEANOR
2018-06-19: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2018-06-19: MEDICAL EXPENSE LIABILITY REVOLVING FUND
2018-06-19: TRAUMA CARE ASSISTANCE REVOLVING FUND
2018-06-19: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2018-06-19: AFIS FEE
2018-06-19: CLEET PENALTY ASSESSMENT
2018-06-19: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2018-06-19: LAW LIBRARY FEE
2018-06-19: SHERIFF'S SERVICE FEE ON ARRESTS
2018-06-19: C.H.A.B. STATUTORY FEE
2018-06-19: ATTORNEY GENERAL VICTIM SERVICES UNIT
2018-06-19: VICTIMS COMPENSATION ASSESSMENT (AC12)
2018-06-19: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2018-06-19: DISTRICT COURT ADMINISTRATIVE FEE
2018-06-19: THE STATUS OF THE BOND ENTRY DETAILED IN DOCKET SERIAL #18970827 ABOVE HAS CHANGED TO READ AS FOLLOWS: PROFESSIONAL BOND FOR NEAL, DEZMINE TIONTRAY POSTED BY FLOYD, RODNEY GUY (PROFESSIONAL:FLOYD, RODNEY GUY) (POWER NUMBER:3111 ), COUNT NUMBER 2, IN THE AMOUNT OF $5,000.00, POSTED 12/11/2017, EXONERATED 06/19/2018"
"ORIGINAL OFFENSE: DU9, MARIJUANA *MISDEMEANOR* (NOT USING MV) (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
"1 YEAR DEFERRED SENTENCE; SUPERVISION BY OCS; DRUG/ALCOHOL ASSESSMENT FIRST 90 AND FOLLOWUP FROM ASSESSMENT FIRST 180 DAYS; NO FURTHER INFORMATION AVAILABLE;; Statute: 21 O.S. 652,1272, 1273,1279, 1287,1283,1289.7.8.9,13,16.17A, 18,21,26, 1364,1550, 1290.1",1 YEAR PROBATION; $100.00 FINE; FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
"2020-02-25: BENCH WARRANT ISSUED FAILED TO APPEAR AND PAY
2020-05-20: WARRANT RETURNED 5/20/2020, WARRANT ISSUED ON 2/25/2020

2018-06-19: 1 YEAR D/S; FINE 100; VCA 100; COURT COSTS; COI 48; DNA 150; MHA 100; TCA 100; SUPERVISION BY OCS 1 YEAR; D A ASSESSMENT FIRST 90 AND FOLLOWUP FROM ASSESSMENT FIRST 180 DAYS; CLEAN UA AT PLEA NO FIRARMS; 991 FEES (SS)

2018-06-19: COURT COSTS ON MISDEMEANOR: $ 83.00

2018-06-19: FINES PAYABLE TO COUNTY: $ 100.00; Statute: 63 O.S. 2-401-2-420","2017-12-10: PROFESSIONAL BOND FOR NEAL, DEZMINE TIONTRAY POSTED BY FLOYD, RODNEY GUY (PROFESSIONAL:FLOYD, RODNEY GUY) (POWER NUMBER:3113 ), COUNT NUMBER 1, IN THE AMOUNT OF $1,000.00, POSTED 12/11/2017
2017-12-15: CRIMINAL MISDEMEANOR INITIAL FILING.
2017-12-15: DEFENDANT DEZMINE TIONTRAY NEAL WAS CHARGED WITH COUNT #1, MARIJUANA *MISDEMEANOR* (NOT USING MV) IN VIOLATION OF 63 O.S. 2-401-2-420
2018-06-19: TRAUMA CARE ASSISTANCE REVOLVING FUND
2018-06-19: DA COUNCIL PROSECUTION ASSESSMENT FOR MISDEMEANOR
2018-06-19: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2018-06-19: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2018-06-19: AFIS FEE
2018-06-19: CLEET PENALTY ASSESSMENT
2018-06-19: MEDICAL EXPENSE LIABILITY REVOLVING FUND
2018-06-19: TRAUMA CARE ASSISTANCE REVOLVING FUND
2018-06-19: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2018-06-19: LAW LIBRARY FEE
2018-06-19: BUREAU OF NARCOTICS DRUG EDUCATION REVOLVING FUND
2018-06-19: SHERIFF'S SERVICE FEE ON ARRESTS
2018-06-19: ATTORNEY GENERAL VICTIM SERVICES UNIT
2018-06-19: C.H.A.B. STATUTORY FEE
2018-06-19: DNA LAB FEE- - PAY TO OSBI
2018-06-19: DRUG ABUSE EDUCATION/TREATMENT FEE (MENTAL HEALTH)
2018-06-19: VICTIMS COMPENSATION ASSESSMENT (AC12)
2018-06-19: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2018-06-19: DISTRICT COURT ADMINISTRATIVE FEE
2018-06-19: DA FEE - INMATE JAIL COSTS
2018-06-19: SHERIFF'S FUND - INMATE JAIL COSTS
2018-06-19: OKLAHOMA DEPARTMENT OF HEALTH/TRAUMA CARE FUND
2018-06-19: THE STATUS OF THE BOND ENTRY DETAILED IN DOCKET SERIAL #18970821 ABOVE HAS CHANGED TO READ AS FOLLOWS: PROFESSIONAL BOND FOR NEAL, DEZMINE TIONTRAY POSTED BY FLOYD, RODNEY GUY (PROFESSIONAL:FLOYD, RODNEY GUY) (POWER NUMBER:3113 ), COUNT NUMBER 1, IN THE AMOUNT OF $1,000.00, POSTED 12/11/2017, EXONERATED 06/19/2018"
1 YEAR DEFERRED SENTENCE; SUPERVISION BY OCS; DRUG/ALCOHOL ASSESSMENT FIRST 90 AND FOLLOWUP FROM ASSESSMENT FIRST 180 DAYS; NO FURTHER INFORMATION AVAILABLE;; Statute: 63 O.S. 2-401-2-420,1 YEAR PROBATION; $100.00 FINE; FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
"2020-02-25: BENCH WARRANT ISSUED FAILED TO APPEAR AND PAY
2020-05-20: WARRANT RETURNED 5/20/2020, WARRANT ISSUED ON 2/25/2020

2018-06-19: 1 YEAR D/S; FINE 50; VCA 50; (SS)

2018-06-19: COURT COSTS ON MISDEMEANOR: $ 83.00

2018-06-19: FINES PAYABLE TO COUNTY: $ 50.00 CHARGE TYPE: UNAVAILABLE;; Statute: 37 O.S. 537(A)(7)","2017-12-10: PROFESSIONAL BOND FOR NEAL, DEZMINE TIONTRAY POSTED BY FLOYD, RODNEY GUY (PROFESSIONAL:FLOYD, RODNEY GUY) (POWER NUMBER:3114 ), COUNT NUMBER 3, IN THE AMOUNT OF $316.00, POSTED 12/11/2017
2017-12-15: DEFENDANT DEZMINE TIONTRAY NEAL WAS CHARGED WITH COUNT #3, TRANSPORTING OPEN CONTAINER - ALCOHOL IN VIOLATION OF 37 O.S. 537(A)(7)
2018-06-19: DA COUNCIL PROSECUTION ASSESSMENT FOR MISDEMEANOR
2018-06-19: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2018-06-19: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2018-06-19: MEDICAL EXPENSE LIABILITY REVOLVING FUND
2018-06-19: TRAUMA CARE ASSISTANCE REVOLVING FUND
2018-06-19: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2018-06-19: CLEET PENALTY ASSESSMENT
2018-06-19: AFIS FEE
2018-06-19: LAW LIBRARY FEE
2018-06-19: SHERIFF'S SERVICE FEE ON ARRESTS
2018-06-19: ATTORNEY GENERAL VICTIM SERVICES UNIT
2018-06-19: C.H.A.B. STATUTORY FEE
2018-06-19: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2018-06-19: DISTRICT COURT ADMINISTRATIVE FEE
2018-06-19: VICTIM'S COMPENSATION ASSESSMENT (VCA) CRIMINAL ONLY
2018-06-19: THE STATUS OF THE BOND ENTRY DETAILED IN DOCKET SERIAL #18970950 ABOVE HAS CHANGED TO READ AS FOLLOWS: PROFESSIONAL BOND FOR NEAL, DEZMINE TIONTRAY POSTED BY FLOYD, RODNEY GUY (PROFESSIONAL:FLOYD, RODNEY GUY) (POWER NUMBER:3114 ), COUNT NUMBER 3, IN THE AMOUNT OF $316.00, POSTED 12/11/2017, EXONERATED 06/19/2018"
1 YEAR DEFERRED SENTENCE; SUPERVISION BY OCS; DRUG/ALCOHOL ASSESSMENT FIRST 90 AND FOLLOWUP FROM ASSESSMENT FIRST 180 DAYS; NO FURTHER INFORMATION AVAILABLE;; Statute: 37 O.S. 537(A)(7),1 YEAR PROBATION; $50.00 FINE; FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
"ORIGINAL OFFENSE: WE1, TRANSPORTING LOADED FIREARM IN MV (STATUTE: 21 O.S. 652,1272, 1273,1279, 1287,1283,1289.7.8.9,13,16.17A, 18,21,26, 1364,1550, 1290.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DI5, TRANSPORTING OPEN CONTAINER - ALCOHOL (STATUTE: 37 O.S. 537(A)(7))
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: SPEED 73/55 (STATUTE: O.S. 11 801)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: NO INSURANCE (STATUTE: O.S. 7 602)
ORIGINAL PLEA: DISMISSED BY COURT",
,
"ORIGINAL OFFENSE: OPERATING A M/V W/O AN INSPECTION STICKER (STATUTE: O.S. 70-851)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: NOT WEARING SEATBELT (CAR) (STATUTE: 47 O.S. 12417)
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: GUILTY PLEA",
,"other: 5/30/2013 DEFENDANT INTO THE ROGERS COUNTY DRUG COURT PROGRAM AND SENTENCES AS FOLLOWS:
DEFENDANT TO SUCCESSFULLY COMPLETE THE ROGERS COUNTY DRUG COURT PROGRAM; PAY A $22.00 DRUG COURT ADMINISTRATIVE FEE EACH MONTH; TO PAY CT.1: $100 FINE AND COST; AND RESTITUTION OF $147.50; MUST BE PAID AT $25 A MONTH PAYMENTS TO START 10-15-13, OTHER STIPULATIONS: MUST LIVE IN OXFORD HOUSE ONCE RELEASED FROM TULSA COUNTY, IF DEFENDANT SUCCESSFULLY COMPLETES THE DRUG COURT PROGRAM HE WILL RECEIVE: DISMISSED WITH COST
IF DEFENDANT FAILS THE ROGERS COUNTY DRUG COURT PROGRAM HE WILL RECEIVE: WILL SHOW A CONVICTION, COURT ORDER DEFENDANT RELEASED INSTANTER FROM ROGERS COUNTY JAIL AND ORDER GIVEN TO RCS. 08/07/2014  DFT ENTERS PLEA OF GUILTY. COURT ACCEPTS PLEA AND FINDS THE DFT GUILTY. DFT IS REMOVED FROM THE DC PROGRAM AND SENTENCED PER ORIGINAL PLEA AGREEMENT WITH FINES, COSTS AND RESTITUTION AS PREVIOUSLY ASSESSED. ADDITIONAL SENTENCING AS FOLLOWS:
1 YEAR RCJ TO RUN CC WITH CF-13-102 AND CF-13-113
DFT TO RECEIVE CREDIT FOR TIME SERVED. DFT REQUESTS IMMEDIATE TRANSPORT."
"ORIGINAL OFFENSE: BRG2, BURGLARY IN THE SECOND DEGREE (F) (STATUTE: 21 O.S. 1435)
ORIGINAL PLEA: GUILTY PLEA",
,"sentence suspended: 3 YEARS
other: 05/30/2013 DEFENDANT INTO THE ROGERS COUNTY DRUG COURT PROGRAM AND SENTENCES AS FOLLOWS: DEFENDANT TO SUCCESSFULLY COMPLETE THE ROGERS COUNTY DRUG COURT PROGRAM; PAY A $22.00 DRUG COURT ADMINISTRATIVE FEE EACH MONTH; COMPLETE 30 DAYS RCJ OR 120 HOURS COMMUNITY SERVICE WITH CREDIT FOR TIME SERVED; SHOW JAIL TIME SATISFIED. TO PAY $100 FINE, OTHER STIPULATIONS: MUST LIVE IN OXFORD HOUSE ONCE RELEASED FROM TULSA COUNTY. IF DEFENDANT SUCCESSFULLY COMPLETES THE DRUG COURT PROGRAM HE WILL RECEIVE: DISMISSED WITH COST. IF DEFENDANT FAILS THE ROGERS COUNTY DRUG COURT PROGRAM HE WILL RECEIVE: 3 YEARS DOC SUSPENDED, COUNT 2 RUNS CONSECUTIVE TO COUNT 1, THIS CASE TO RUN CONCURRENT TO CF-13-102. 07/16/2013 DEFENDANT CONFESSES AND STIPULATES TO THE STATE'S APPLICATION FOR REMOVAL FROM DRUG COURT. COURT ACCEPTS THE CONFESSION, FINDS IT WAS FREELY, VOLUNTARILY AND KNOWINGLY GIVEN; WITHHOLDS SENTENCING, APPROVES THE AGREEMENT WITH THE STATE AND MODIFIES TREATMENT AND ORDERS DEFENDANT TO ATTEND INPATIENT TREATMENT FACILITY; DEFENDANT TO REMAIN IN ROGERS COUNTY JAIL UNTIL A BED BECOMES AVAILABLE. ONCE COMPLETED INPATIENT TO MOVE INTO AN OXFORD HOUSE. WHILE DEFENDANT IS INPATIENT NOT ALLOWED TO LEAVE OR HAVE ANY PASSES WITHOUT PRIOR APPROVAL OF THE COURT. IF HE LEAVES OR IS ""KICKED OUT"" HE MUST REPORT TO THE DRUG COURT OFFICE WITHIN 24 HOURS OR A WARRANT WILL ISSUE FOR HIS ARREST. 08/07/2014 DFT STIPS TO APP. COURT FINDS STIPULATION FREELY VOLUNTARILY AND KNOWINGLY GIVEN. DFT IS FOUND GUILTY AND ORDERED TO PAY FINES AND COSTS AS PREVIOUSLY ASSESSED. ADDITIONAL SENTENCING AS FOLLOWS; 3 YEARS DOC SUSPENDED, WITH UNSPECIFIED CREDIT FOR TIME SERVED, TO RUN CONSECUTIVE TO COUNT 1 THIS MATTER TO RUN CC WITH CF-13-102"
"ORIGINAL OFFENSE: DR3, POSSESSION OR SELLING OF PARAPHERNALIA WHILE (STATUTE: 63 O.S. 2-405)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OBS, OBSTRUCTING OFFICER (M) (STATUTE: 21 O.S. 540)
ORIGINAL PLEA: GUILTY PLEA",
,"other: CASE TO RUN CONCURRENT WITH ROGERS COUNTY CASE CF-2013-113, INELIGIBLE TO REGISTER TO VOTE"
"ORIGINAL OFFENSE: RCSP, KNOWINGLY RECEIVING/CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: RCSP, KNOWINGLY CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA
ORIGINAL PLEA: OTHER",
"ORIGINAL OFFENSE: CONT, INDIRECT CONTEMPT OF COURT (STATUTE: 21 O.S. 565)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451)
ORIGINAL PLEA: GUILTY PLEA",
,other: SENTENCING UNSPECIFIED
,other: DISMISSED- REQUEST OF THE STATE
"ORIGINAL OFFENSE: BRG2, BURGLARY IN THE SECOND DEGREE (STATUTE: 21 O.S. 1435)
ORIGINAL PLEA: GUILTY PLEA
ORIGINAL PLEA: OTHER",
"ORIGINAL OFFENSE: RCSP, KNOWINGLY CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA
ORIGINAL PLEA: OTHER",
,
"ORIGINAL OFFENSE: PCRG, INJURING OR BURNING PUBLIC BUILDING (STATUTE: 21 O.S. 349)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: RCSP, KNOWINGLY RECEIVING/CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: BRG2, BURGLARY IN THE SECOND DEGREE (STATUTE: 21 O.S. 1435)
ORIGINAL PLEA: GUILTY PLEA
ORIGINAL PLEA: OTHER",
"ORIGINAL OFFENSE: OWN, FALSE DECLARATION OF OWNERSHIP IN PAWN (F) (STATUTE: 59 O.S. 1512)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: ABDOM, DOMESTIC ABUSE - ASSAULT AND BATTERY (STATUTE: 21 O.S. 644(C))
ORIGINAL PLEA: GUILTY PLEA",
