Charge,Count,Percent,Category(1 violent or 0 non violent)
273A(B) PC-WILLFUL CRUELTY TO CHILD,13475.0,0.002443767504,0
4000(A) VC-NO REG:VEHICLE/TRAILER/ETC,13294.0,0.00241094213,0
415(1) PC-FIGHT/CHALLENGE FIGHT PUBLIC PLACE,13087.0,0.002373401509,0
470 PC-FORGERY,13085.0,0.002373038797,0
487.1 PC-GRAND THEFT:PROPERTY,12774.0,0.002316637187,0
11352 HS-TRANSPORT/SELL NARCOTIC/CNTL SUB,12762.0,0.002314460919,0
11360(A) HS-SELL/FURNISH/ETC MARIJUANA/HASH,12318.0,0.002233939007,0
460(B) PC-BURGLARY:SECOND DEGREE,12032.0,0.002182071288,Property
23103 VC-RECKLESS DRIVING,11979.0,0.002172459438,0
11364.1(A) HS-POSSESS UNLAW PARAPHERNALIA,11706.0,0.002122949344,0
CHARGE NOT SPECIFIED,11564.0,0.00209719684,0
14601(A) VC-DRIVE:SUSPENDED/ETC LIC:RECKLESS,11516.0,0.002088491768,0
23152(A) VC-DUI ALCOHOL/DRUGS W/PRIORS,11516.0,0.002088491768,0
242 PC-BATTERY ON PERSON,11364.0,0.002060925708,0
243(A) PC-BATTERY ON PERSON,11265.0,0.002042971498,0
4149 BP-POSSESS HYPODERMIC NEEDLE/SYRINGE,10797.0,0.00195809705,0
3455 PC-POST RELEASE COMMUNITY SUPV VIOLATION,10674.0,0.001935790304,0
31 VC-GIVE FALSE INFORMATION TO PEACE OFFICER,10600.0,0.001922369985,0
243(B) PC-BATTERY PEACE OFCR/EMERG PERSNL/ETC,10565.0,0.001916022537,0
23102(A) VC-MISD DRUNK DRIVING ON HIGHWAY,10536.0,0.001910763223,0
211 PC-ROBBERY:SECOND DEGREE,10222.0,0.001853817546,0
23103(A) VC-RECKLESS DRIVING:HIGHWAY,10075.0,0.001827158264,0
69 PC-OBSTRUCT/RESIST EXECUTIVE OFFICER,10025.0,0.001818090481,0
417(A)(1) PC-EXHIBIT DEADLY WEAPON:NOT FIREARM,10020.0,0.001817183703,0
4140 BP-POSSESS HYPODERMIC NEEDLE/SYRINGE,10008.0,0.001815007435,0
273A(A) PC-CHILD CRUELTY:POS INJURY/DEATH,9869.0,0.001789798998,0
602(L) PC-TRESPASS:OCCUPY PROPERTY W/O CONSENT,9733.0,0.001765134628,0
11379 HS-TRANSPORT/ETC CONTROL SUBSTANCE,9689.0,0.001757154979,0
243(D) PC-BATTERY WITH SERIOUS BODILY INJURY,9614.0,0.001743553305,0
245(A)(2) PC-ASSAULT WITH FIREARM ON PERSON,9505.0,0.001723785538,0
12031(A) PC-CARRY LOADED FIREARM:PUBLIC PLACE,9419.0,0.001708188952,0
415 PC-FIGHT/NOISE/OFFENSIVE WORDS,9384.0,0.001701841503,0
166.4 PC-DISOBEY COURT ORDER/PROCESS,9299.0,0.001686426272,0
23153(A) VC-DUI ALCOHOL/DRUGS CAUSE BODILY INJ,9286.0,0.001684068649,0
487 PC-GRAND THEFT,9178.0,0.001664482238,0
422 PC-THREATEN CRIME W/INTENT TO TERRORIZE,8924.0,0.0016184179,0
INFRACTION VIOLATION,8900.0,0.001614065365,0
12021(A)(1) PC-FELON/ETC POSSESS FIREARM,8893.0,0.001612795875,0
236 PC-FALSE IMPRISONMENT,8804.0,0.001596655221,0
288(A) PC-LEWD OR LASCIV ACTS W/CHILD UNDER 14,8799.0,0.001595748443,0
22350 VC-UNSAFE SPEED:PREVAILING CONDITIONS,8757.0,0.001588131505,0
487.3 PC-GRAND THEFT:AUTO,8614.0,0.001562197646,0
187(A) PC-MURDER,8354.0,0.001515045175,Violent
245(A)(1) PC-FORCE/ADW-NOT FIREARM:GBI LIKELY,8296.0,0.001504526547,0
23152(B) VC-DUI ALCOHOL/0.08% W/PRIORS,8248.0,0.001495821475,0
647(A) PC-DISORDERLY CONDUCT:SOLICIT LEWD ACT,8158.0,0.001479499466,0
240 PC-ASSAULT,8151.0,0.001478229976,0
11590 HS-REGISTRATION OF CNTL SUB OFFENDER,8070.0,0.001463540168,0
23222(B) VC-POSS MARIJUANA 1 OZ OR LES W/DRIVE,8020.0,0.001454472385,0
10852 VC-TAMPER WITH VEHICLE,7959.0,0.00144340969,0
653.22(A) PC-LOITER:INTENT:PROSTITUTION,7877.0,0.001428538525,0
273.5(A) PC-INFL CRPL INJ:SPOUSE/COHAB/DATE,7811.0,0.001416569052,0
2800.2 VC-EVADE PEACE OFFICER:DISREGARD SAFETY,7774.0,0.001409858893,0
245(A) PC-ASSAULT WITH DEADLY WEAPON,7695.0,0.001395531796,0
530.5(A) PC-GET CREDIT/ETC:USE OTHER'S ID,7639.0,0.001385375879,0
415(2) PC-DISTURBS BY LOUD/UNREASONABLE NOISE,7495.0,0.001359260664,0
594(B)(2)(A) PC-VANDALISM LESS THAN $400,7482.0,0.00135690304,0
MISCELLANEOUS OFFENSE,7481.0,0.001356721685,0
8 1325 US-ILLEGAL ENTRY,7426.0,0.001346747123,0
29800(A)(1) PC-FELON/ADDICT POSS/ETC FIREARM,7388.0,0.001339855608,0
8 1251 US-DEPORTATION PROCEEDINGS,7381.0,0.001338586119,0
11357(A) HS-POSSESS CONCENTRATED CANNABIS,7342.0,0.001331513248,0
11550(B) HS-USE/UNDER INFL SPEC CONTROL SUB,6967.0,0.001263504876,0
415 PC-DISTURB THE PEACE,6953.0,0.001260965897,0
245(A)(4) PC-ADW WITH FORCE:POSSIBLE GBI,6772.0,0.001228140522,0
TRAFFIC VIOLATION,6725.0,0.001219616806,0
10851(A) VC-TAKE VEH W/O OWNER CONSENT,6659.0,0.001207647333,0
459.5 PC-SHOPLIFTING,6519.0,0.001182257541,0
245(A)(1) PC-ASSAULT W/DEADLY WEAPON:NOT F/ARM,6512.0,0.001180988051,0
777 WI-MODIFY COURT ORDER:COMMITMENT/PROB/ETC,6448.0,0.001169381289,0
11351 HS-POSSESS NARCOTIC CONTRL SUB FOR/SALE,6427.0,0.00116557282,0
1320(B) PC-FAILURE TO APPEAR ON FELONY CHARGE,6417.0,0.001163759263,0
11358 HS-PLANT/CULTIVATE/ETC MARIJUANA/HASH,6392.0,0.001159225372,0
2800.2(A) VC-EVADE PEACE OFCR:DISREGARD SAFETY,6377.0,0.001156505037,0
10980(C)(2) WI-FRAUD TO OBTAIN AID,6354.0,0.001152333857,0
4462.5 VC-SHOW ON VEH/GIVE OFFICER UNLAWF REG,6287.0,0.001140183028,0
594 PC-MALICIOUS MISCHIEF/VANDALISM,6212.0,0.001126581353,0
182 PC-CRIMINAL CONSPIRACY,6070.0,0.00110082885,0
602 PC-TRESPASSING,6050.0,0.001097201737,0
476 PC-MAKE/PASS FICTITIOUS CHECK,5928.0,0.001075076346,0
186.22(A) PC-PARTICIPATE IN CRIM STREET GANG,5925.0,0.001074532279,0
12025(A) PC-CARRY CONCEALED WEAPON IN VEHICLE,5911.0,0.0010719933,0
23153(B) VC-DUI .08 ALCOHOL:CAUSE BODILY INJ,5856.0,0.001062018739,0
602.5 PC-ENTER/ETC NONCOMMERCIAL DWELLING,5737.0,0.001040437415,0
602(J) PC-TRESPASS:INJURE PROPERTY,5633.0,0.001021576427,0
476A(A) PC-INSUFFICIENT FUNDS:CHECKS/ETC,5631.0,0.001021213715,0
470(A) PC-FORGERY,5533.0,0.001003440861,0
166(C)(1) PC-CONTEMPT:VIOL PROTECTIVE ORD/ETC,5516.0,0.001000357815,0
602(M) PC-TRESPASS:OCCUPY PROPERTY W/O CONSENT,5501.0,0.0009976374798,0
470(D) PC-FALSE CHECKS/RECORDS/CERTS/ETC,5479.0,0.0009936476553,0
484(A)/488 PC-THEFT PERSONAL PROP/PETTY THEFT,5440.0,0.0009865747846,0
212.5(C) PC-ROBBERY:SECOND DEGREE,5363.0,0.0009726103989,0
490.5 PC-PETTY THEFT RETAIL MERCHANDISE,5350.0,0.0009702527753,0
25662(A) BP-MINOR POSSESS ALCOHOL,5214.0,0.0009455884057,0
484 PC-PETTY THEFT,5161.0,0.0009359765558,0
12020(A)(1) PC-MANUFACTURE/POS DANG WPN/ETC,5158.0,0.0009354324888,0
272 PC-CONTRIBUTE TO THE DELINQUENCY OF MINOR,5133.0,0.0009308985973,0
978.5 PC-BENCH WARRANT:FTA:MISDEMEANOR CHARGE,5035.0,0.0009131257428,0
30305(A)(1) PC-PROHIBITED OWN/ETC AMMO/ETC,4947.0,0.0008971664448,0
12020 PC-POSSESS/MFG/SELL DANGEROUS WEAPON/ETC,4913.0,0.0008910003524,0
487(C) PC-GRAND THEFT FROM PERSON,4881.0,0.0008851969713,0
11370.1(A) HS-POSS CNTL SUB WHILE ARMED,4850.0,0.0008795749459,0
4060 BP-POSSESS CNTL SUBS WITHOUT PRESCRIPTION,4765.0,0.0008641597149,0
32 PC-ACCESSORY,4698.0,0.0008520088857,0
21310 PC-CARRY CONCEALED DIRK OR DAGGER,4686.0,0.0008498326178,0
314.1 PC-INDECENT EXPOSURE,4678.0,0.0008483817725,0
653K PC-POSSESS/SELL SWITCH-BLADE KNIFE,4644.0,0.0008422156801,0
460(A) PC-BURGLARY:FIRST DEGREE,4633.0,0.0008402207679,Property
594(A)(1) PC-VANDALISM:DEFACE PROPERTY,4624.0,0.0008385885669,0
118 PC-PERJURY,4600.0,0.0008342360311,0
485 PC-APPROPRIATE LOST PROPERTY,4557.0,0.0008264377378,0
484(A) PC-SHOPLIFT,4438.0,0.0008048564144,0
243(E) PC-BATTERY:SPOUSE/ETC,4435.0,0.0008043123474,0
16028(A) VC-FALSE PROOF:FINANCE RESPONSIBILTY,4302.0,0.0007801920448,
UNSPECIFIED CHARGE,4294.0,0.0007787411995,0
22450(A) VC-FAIL STOP VEH LINE:CROSSWALK/ETC,4275.0,0.000775295442,0
594(A)(2) PC-VANDALISM:DAMAGE PROPERTY,4211.0,0.0007636886798,0
496(D) PC-ATTEMPT TO COMMIT 496 PC:STOLEN PROP,4110.0,0.0007453717582,0
12021(A) PC-FELON/ADDICT/ETC POSSESS FIREARM,4092.0,0.0007421073564,0
290 PC-REGISTRATION OF SEX OFFENDER,4091.0,0.0007419260007,0
20001(A) VC-HIT AND RUN:DEATH OR INJURY,4023.0,0.0007295938159,0
422(A) PC-THREATEN CRIME W/INTENT TO TERRORIZE,4021.0,0.0007292311046,0
"487H(A) PC-GRAND THEFT:VEHICLES,VESSELS/ETC",4007.0,0.0007266921254,0
503 PC-EMBEZZLEMENT,3957.0,0.0007176243424,0
12025(A)(1) PC-CCW IN VEHICLE,3888.0,0.000705110802,0
594(B)(4) PC-VANDALISM,3828.0,0.0006942294624,0
240/242 PC-ASSAULT & BATTERY,3810.0,0.0006909650606,0
647(F) PC-DISORDERLY CONDUCT:TOLUENE,3809.0,0.0006907837049,0
243(E)(1) PC-BATT:NONCOHAB FORMER SPOUSE/ETC,3760.0,0.0006818972776,0
207(A) PC-KIDNAPPING,3758.0,0.0006815345663,Violent
22349(A) VC-EXCEED SPEED ON HIGHWAY,3756.0,0.000681171855,0
487.2 PC-GRAND THEFT FROM PERSON,3754.0,0.0006808091437,0
2800.1(A) VC-EVADING PEACE OFFICER,3752.0,0.0006804464323,0
1551.1 PC-FUGITIVE FROM JUSTICE:ARR W/O WARR,3723.0,0.0006751871182,0
12031(A)(1) PC-CARRY LOADED F/ARM:PUBLIC PLACE,3678.0,0.0006670261136,0
490.5(A) PC-PETTY THEFT RETAIL MERCHANDISE/ETC,3662.0,0.000664124423,0
666 PC-PETTY THEFT W/PRIOR,3624.0,0.000657232908,0
118(A) PC-PERJURY,3586.0,0.000650341393,0
475A PC-POSSESS BAD CHECK/MONEY ORDER,3559.0,0.0006454447902,0
3454 PC-PRCS:FLASH INCARCERATION,3537.0,0.0006414549657,0
242/243(A) PC-BATTERY,3510.0,0.0006365583629,0
602.1(A) PC-TRESPAS OBSTRUC BUSINES OPR,3510.0,0.0006365583629,0
187 PC-MURDER,3496.0,0.0006340193837,Violent
484/666 PC-THEFT/PETTY THEFT W/PRIOR,3485.0,0.0006320244714,0
182.1 PC-CONSPIRACY:COMMIT CRIME,3469.0,0.0006291227809,0
270 PC-FAILURE TO PROVIDE,3439.0,0.0006236821111,0
4573 PC-BRING CONTROL SUB/ETC INTO PRISON/ETC,3371.0,0.0006113499263,0
4573.6 PC-POSSESS CONTROL SUB/ETC IN PRISN/ETC,3366.0,0.000610443148,0
529.3 PC-PERSONATE TO MAKE OTHER LIABLE,3354.0,0.0006082668801,0
20002 VC-HIT AND RUN,3346.0,0.0006068160348,0
12020(A) PC-POSS/MFG/SELL DANGEROUS WPN/ETC,3316.0,0.000601375365,0
591 PC-DAMAGE/ETC POWER LINES,3307.0,0.0005997431641,0
647(G) PC-DISORD CONDUCT:LOITER PRIVATE PROP,3302.0,0.0005988363858,0
135 PC-DESTROY/CONCEAL EVIDENCE,3295.0,0.0005975668962,0
667.5(B) PC-PR PRISON:NEW FELONY:ENHANCE TERM,3290.0,0.0005966601179,0
529 PC-FALSE PERSONATION OF ANOTHER:SPEC CIRC,3248.0,0.0005890431802,0
12025 PC-CARRY CONCEALED WEAPON ON PERSON/VEH,3210.0,0.0005821516652,0
647(H) PC-DIS CON:LOITER/ETC PRIVATE PROPERTY,3208.0,0.0005817889539,0
640(B)(1) PC-FAIL PAY FARE:PUB TRANSIT SYSTEM,3205.0,0.0005812448869,0
12316(B)(1) PC-PROHIBITED OWN/ETC AMMO/ETC,3203.0,0.0005808821756,0
11379.6(A) HS-MANUFACTURE/ETC CONTROLLED SUBS,3202.0,0.0005807008199,0
215(A) PC-CARJACKING,3198.0,0.0005799753973,0
4140 BP-SELL HYPO NEEDLE/SYRINGE W/O PERMIT,3185.0,0.0005776177737,0
476A PC-NONSUFFICIENT FUNDS:CHECKS,3170.0,0.0005748974388,0
12031(A)(1) PC-CARRY LOAD F/ARM:PUB:SPEC CIRC,3164.0,0.0005738093049,0
415(3) PC-OFFENSIVE WORDS IN PUBLIC PLACE,3160.0,0.0005730838823,0
417(A)(2) PC-EXHIBIT FIREARM,3148.0,0.0005709076143,0
978.5 PC-BENCH WARRANT:FTA:FELONY CHARGE,3123.0,0.0005663737229,0
25658(A) BP-SELL/ETC LIQUOR TO MINOR,3109.0,0.0005638347436,0
NON RETAINABLE OFFENSE,3103.0,0.0005627466097,0
23152(E) VC-DUI DRUG,3087.0,0.0005598449191,0
23103.5 VC-PLEA TO 23103 IN LIEU OF,3046.0,0.0005524093371,0
484(A)/490.5 PC-THEFT/PETTY THEFT MERCHANDISE,3004.0,0.0005447923995,0
602 WI-FAIL TO OBEY ORDER OF JUVENILE COURT,2968.0,0.0005382635957,0
12031 PC-CARRY LOADED FIREARM IN PUBLIC PLACE,2942.0,0.0005335483486,0
653M(A) PC-ANNOYING PHONE CALL:OBSCENE/THREAT,2939.0,0.0005330042816,0
23152(A) VC-DUI W/PRIOR CONV:PER 23550 VC,2936.0,0.0005324602146,0
23152(B) VC-DUI 0.08%W/PRS:PER 23550VC,2930.0,0.0005313720807,0
21453(A) VC-FAIL STOP LIMIT LINE/ETC AT RED,2926.0,0.0005306466581,0
475(A) PC-POSS/ETC BAD/ETC CHECK/ETC,2899.0,0.0005257500553,0
246.3 PC-WILLFUL DISCH FIREARM-NEGLIGENT MANNR,2891.0,0.00052429921,0
DNA PALM COLLECT:NO ARREST,2850.0,0.000516863628,0
243(E) PC-BATT ON NONCOHAB FORMER SPOUSE/ETC,2842.0,0.0005154127827,0
602(K) PC-TRESPASS:INJURE PROPERTY,2818.0,0.0005110602469,0
23109(C) VC-AIDE/ABET IN EXHIBITION OF SPEED,2811.0,0.0005097907573,0
273A(1) PC-WILFUL CHLD CRULTY:POSS INJ/DEATH,2792.0,0.0005063449998,0
236 PC-FALSE IMPRISONMENT W/VIOLENCE/ETC,2786.0,0.0005052568658,0
1551 PC-FUGITIVE FROM JUSTICE:WARRANT ARREST,2755.0,0.0004996348404,0
23222(A) VC-POSSESS OPEN CONTAINER:DRIVING,2752.0,0.0004990907734,0
40508(B) VC-FAIL TO PAY FINE:VEH OPR VIOL,2696.0,0.0004889348565,0
594(B)(2) PC-VANDALISM,2692.0,0.0004882094339,0
261(A)(2) PC-RAPE:FORCE/FEAR/ETC,2661.0,0.0004825874084,Violent
12020(A)(4) PC-CARRY CONCEALED DIRK OR DAGGER,2653.0,0.0004811365632,0
245 PC-ASSAULT WITH DEADLY WEAPON,2650.0,0.0004805924962,0
1203.03 PC-DIAGNOSTIC COMMITMENT UP TO 90 DAYS,2647.0,0.0004800484292,0
27315(D) VC-SEATBELT VIOL:VEHICLE,2646.0,0.0004798670736,0
1370 PC-MENTALLY INCOMPETENT,2640.0,0.0004787789396,0
212.5(B) PC-ROBBERY:SECOND DEGREE,2621.0,0.0004753331821,0
777(A)(2) WI-FAIL OBEY ORDR OF JUV CRT:602 WI,2602.0,0.0004718874246,0
211 PC-ROBBERY:FIRST DEGREE,2582.0,0.0004682603114,0
484/490.5 PC-THEFT/PETTY THEFT MERCHANDISE,2553.0,0.0004630009973,0
646.9(A) PC-STALKING,2530.0,0.0004588298171,0
594.2(A) PC-POSS DRILL/ETC:INT VANDALISM/ETC,2526.0,0.0004581043945,0
594(B)(4) PC-VANDALISM:SPEC DOLLAR AMOUNT,2521.0,0.0004571976162,0
IN CUSTODY ARREST,2520.0,0.0004570162605,0
647(E) PC-DISORD CONDUCT:LODGE W/O CONSENT,2501.0,0.000453570503,0
372 PC-MAINTAIN PUBLIC NUISANCE,2497.0,0.0004528450804,0
12025(B) PC-CARRY CONCEALED WEAPON ON PERSON,2486.0,0.0004508501681,0
487(D) PC-GRAND THEFT:AUTO,2451.0,0.0004445027201,0
602.5(A) PC-ENTER/ETC NONCOMMERCIAL DWELLING,2433.0,0.0004412383182,0
246 PC-SHOOT AT INHABITED DWELLING/VEHICLE/ETC,2406.0,0.0004363417154,0
273D(A) PC-INFLICT INJURY/ETC UPON CHILD,2398.0,0.0004348908701,0
23152(F) VC-DUI ALCOHOL/DRUG,2358.0,0.0004276366438,0
484(A)/666 PC-THEFT/PETTY THEFT W/PRIOR,2352.0,0.0004265485098,0
24252(A) VC-FAIL TO MAINTAIN VEH LIGHT EQUIP,2348.0,0.0004258230872,0
5200 VC-IMPROPER DISPLAY OF LICENSE PLATES,2338.0,0.0004240095306,0
602(O) PC-TRESPASS:REFUSE TO LEAVE PROPERTY,2300.0,0.0004171180156,0
484G PC-THEFT BY USE OF ACCESS CARD DATA,2274.0,0.0004124027684,0
11366 HS-KEEP PLACE:SELL/ETC NARC CNTL SUB,2265.0,0.0004107705675,0
484G(A) PC-THEFT BY FORGED/INVALID ACCESS CARD,2238.0,0.0004058739647,0
273A(A) PC-CRUELTY TO CHILD:POSSIBLE INJ/DEATH,2198.0,0.0003986197384,0
240 PC-ASSAULT ON PERSON,2196.0,0.000398257027,0
487.3 PC-GRAND THEFT:MISCELLANEOUS,2192.0,0.0003975316044,0
25400(A)(1) PC-CCW IN VEHICLE,2191.0,0.0003973502487,0
136.1(C)(1)PC-PREVNT/DISUADE WITNS THREAT/FORC,2157.0,0.0003911841563,0
ILLEGAL ALIEN/IHP DEPORTATION,2144.0,0.0003888265328,0
602(N) PC-TRESPASS:REFUSE TO LEAVE PROPERTY,2127.0,0.0003857434866,0
243.4(A) PC-SEXUAL BATTERY,2124.0,0.0003851994196,0
11350 HS-POSSESS CONTROLLED SUBSTANCE,2121.0,0.0003846553526,0
4000(A)(1) VC-NO REG:VEHICLE/TRAILER/ETC,2121.0,0.0003846553526,0
508 PC-EMBEZZLEMENT BY EMPLOYEE,2088.0,0.0003786706159,0
591.5 PC-DAMAGE/ETC WIRELESS COMM DEVICE,2078.0,0.0003768570593,0
537(A)(1) PC-DEFRAUDING AN INNKEEPER,2074.0,0.0003761316366,0
136.1(B)(1) PC-PRVNT/DISUADE WITN/ETC REPORTNG,2071.0,0.0003755875697,0
261.5(C) PC-SEX WITH MINOR:3+ YRS YOUNGER,2057.0,0.0003730485904,0
25620 BP-POSS OPEN CONTAINER OF ALCOHOL:PUBLIC,2053.0,0.0003723231678,0
10980(C)(2) WI-FRAUD:OBTAIN AID,2037.0,0.0003694214773,0
20001 VC-HIT AND RUN:DEATH OR INJURY,2029.0,0.000367970632,0
12951(A) VC-DRIVE WITHOUT VALID LICENSE,2022.0,0.0003667011424,0
273.6 PC-VIO CRT ORD TO PREVENT DOMESTIC VIOL,2019.0,0.0003661570754,0
475(C) PC-PASS COMPLETED CHECKS/ETC:DEFRAUD,2015.0,0.0003654316528,0
3051 WI-NARC ADDICT COMMITMENT:SUPR CRT CONV,2007.0,0.0003639808075,0
470(D) PC-FALSE CHECK/RECORD/CERTIFICATE/ETC,2006.0,0.0003637994518,0
475 PC-POSS/ETC FORGED NOTES/ETC,2005.0,0.0003636180962,0
290(E)(1) PC-PREREGISTRATION OF SEX OFFENDER,1963.0,0.0003560011585,0
273A(2) PC-WILLFUL CRUELTY TO CHILD,1962.0,0.0003558198028,0
591 PC-DAMAGE/USE/ETC POWER LINES,1951.0,0.0003538248906,0
12025(A)(1) PC-CCW IN VEHICLE W/PR FEL CONV,1937.0,0.0003512859114,0
4230 BP-POSSESS DANGEROUS DRUG W/O PRESCRPTN,1916.0,0.0003474774425,0
979 PC-BENCH WARRANT:FAIL APPEAR:MISD CHARGE,1904.0,0.0003453011746,0
